,Name,Ticker
0,HFG.DE,HelloFresh SE
1,DBK.DE,Deutsche Bank Aktiengesellschaft
2,SHL.DE,Siemens Healthineers AG
3,IFX.DE,Infineon Technologies AG
4,MRK.DE,MERCK Kommanditgesellschaft auf Aktien
5,DHER.DE,Delivery Hero SE
6,ENR.DE,Siemens Energy AG
7,DPW.DE,Deutsche Post AG
8,FME.DE,Fresenius Medical Care AG & Co. KGaA
9,SIE.DE,Siemens Aktiengesellschaft
10,ZAL.DE,Zalando SE
11,DTE.DE,Deutsche Telekom AG
12,RWE.DE,RWE AG
13,LIN.DE,Linde plc
14,CON.DE,Continental Aktiengesellschaft
15,PUM.DE,PUMA SE
16,FRE.DE,Fresenius SE & Co. KGaA
17,BMW.DE,Bayerische Motoren Werke Aktiengesellschaft
18,VOW3.DE,Volkswagen AG
19,BAYN.DE,Bayer Aktiengesellschaft
20,MTX.DE,MTU Aero Engines AG
21,1COV.DE,Covestro AG
22,HEI.DE,HeidelbergCement AG
23,AIR.DE,Airbus SE
24,SY1.DE,Symrise AG
25,ADS.DE,adidas AG
26,DB1.DE,Deutsche Börse AG
27,BEI.DE,Beiersdorf Aktiengesellschaft
28,BAS.DE,BASF SE
29,ALV.DE,Allianz SE
