,Name,Ticker
0,ALB,Albemarle Corp
1,AMD,Advanced Micro Devices Inc
2,AAL,American Airlines Group Inc
3,ATVI,Activision Blizzard Inc
4,AES,AES Corp
5,AFL,Aflac Inc
6,ABMD,Abiomed Inc
7,A,Agilent Technologies Inc
8,AMCR,Amcor Plc
9,GOOGL,Alphabet Inc - Class A
10,AAP,Advance Auto Parts Inc
11,GOOG,Alphabet Inc - Class C
12,ALGN,Align Technology Inc
13,ACN,Accenture plc - Class A
14,ABT,Abbott Laboratories
15,ADBE,Adobe Inc
16,AXP,American Express Company
17,ALK,Alaska Air Group Inc
18,ABBV,Abbvie Inc
19,AKAM,Akamai Technologies Inc
20,ARE,Alexandria Real Estate Equities Inc
21,MO,Altria Group Inc
22,ALLE,Allegion plc
23,LNT,Alliant Energy Corp
24,APD,Air Products & Chemicals Inc
25,AEE,Ameren Corp
26,AMZN,Amazon.com Inc
27,ALL,Allstate Corp (The)
28,AEP,American Electric Power Company Inc
29,MMM,3M Company
